title,price,rating,availability
The Girl on the Train,55.02,Two,In stock
The Genius of Birds,17.24,One,In stock
The Emerald Mystery,23.15,Two,In stock
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,One,In stock
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,Three,In stock
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five,In stock
The Art of War,33.34,Five,In stock
The Argonauts,10.93,Two,In stock
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Three,In stock
Suddenly in Love (Lake Haven #1),55.99,Two,In stock
Something More Than This,16.24,Four,In stock
Soft Apocalypse,26.12,Two,In stock
So You've Been Publicly Shamed,12.23,Two,In stock
Shoe Dog: A Memoir by the Creator of NIKE,23.99,Two,In stock
"Shobu Samurai, Project Aryoku (#3)",29.06,Three,In stock
Secrets and Lace (Fatal Hearts #1),20.27,One,In stock
Scarlett Epstein Hates It Here,43.55,Five,In stock
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,One,In stock
Redeeming Love,20.47,Five,In stock
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,One,In stock
Poems That Make Grown Women Cry,14.19,Four,In stock
"Nightingale, Sing",38.28,One,In stock
Night Sky with Exit Wounds,41.05,One,In stock
Mrs. Houdini,30.25,Five,In stock
Modern Romance,28.26,Five,In stock
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,One,In stock
Louisa: The Extraordinary Life of Mrs. Adams,16.85,Two,In stock
Little Red,13.47,Three,In stock
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,Five,In stock
Large Print Heart of the Pride,19.15,Two,In stock
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Four,In stock
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,One,In stock
Grumbles,22.16,Two,In stock
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,In stock
Frostbite (Vampire Academy #2),29.99,Five,In stock
Follow You Home,21.36,One,In stock
First Steps for New Christians (Print Edition),29.0,One,In stock
Finders Keepers (Bill Hodges Trilogy #2),53.53,Five,In stock
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,In stock
Eureka Trivia 6.0,54.59,Four,In stock
Drive: The Surprising Truth About What Motivates Us,34.95,Four,In stock
Done Rubbed Out (Reightman & Bailey #1),37.72,Five,In stock
Doing It Over (Most Likely To #1),35.61,Three,In stock
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Three,In stock
